yr.si,Year,Site,Transect,Hard coral,Palythoa,Sinularia,Sarcophyton,Sargassum,Cystoseira,Turbinaria algae,Hormophyssa,Padina,Dictyota,Dictyopterus,Hydroclathrus,Colpomenia,Chnoospora,Lobophora,Asparagopsis,Acanthophora,Amphiroa,Laurencia,Hypnea,Halymenia,Galaxaura,Liagora,Cyanobacteria,Halimeda,Halicoyrne,Dictyosphaeria,Chlorodesmis,Caulerpa,Neomeris,Valonia,Sand,Sand/Rubble,Rubble,Pavement,Dead branching,Dead massive,Sponge,Ascidian,Clam,Zoantharian - Red,Zoantharian - Green
13.TNB,2013,Turtle North - Back,1,31,0,3,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,48,0,0,0,0,0,4,0
13.TNB,2013,Turtle North - Back,2,31,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,46,0,0,0,0,0,5,0
13.TNB,2013,Turtle North - Back,3,17,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,13,47,0,0,0,0,0,2,0
13.TNB,2013,Turtle North - Back,4,40,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,6,0
13.TNF,2013,Turtle North - Front,1,16,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0
13.TNF,2013,Turtle North - Front,2,22,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0
13.TNF,2013,Turtle North - Front,3,7,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0
13.TNF,2013,Turtle North - Front,4,7,0,0,0,77,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0
13.TSCh,2013,Turtle South - Channel,1,10,0,0,0,62,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,4,0,0,0,0,0,0,0
13.TSCh,2013,Turtle South - Channel,2,13,1,0,0,48,0,0,0,17,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,2,0
13.TSCh,2013,Turtle South - Channel,3,6,0,0,0,49,0,0,0,15,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,1,0,4,7,0,0,0,0,0,0,0
13.TSCh,2013,Turtle South - Channel,4,1,0,0,0,52,0,0,0,16,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0
13.TSC,2013,Turtle South - Coral,1,32,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,58,5
13.TSC,2013,Turtle South - Coral,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,54,0
13.TSC,2013,Turtle South - Coral,3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,42,0
13.TSC,2013,Turtle South - Coral,4,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,37,0
13.TSF,2013,Turtle South - Front,1,2,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,3,0,0,0,0,0,0,0
13.TSF,2013,Turtle South - Front,2,0,0,0,0,72,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,6,0,0,0,0,0,0,0
13.TSF,2013,Turtle South - Front,3,4,0,0,0,80,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0
13.TSF,2013,Turtle South - Front,4,3,0,0,0,60,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,0,0,0,0,0,0,0
14.TNB,2014,Turtle North - Back,1,0,0,0,0,0,0,0,0,19.35483871,0,0,0,0,19.35483871,0,0,0,0,0,0,0,0,0,0,0,41.93548387,0,0,0,0,0,3.225806452,0,16.12903226,0,0,0,0,0,0,0,0
14.TNB,2014,Turtle North - Back,2,3.03030303,0,0,0,0,0,0,0,27.27272727,0,0,0,0,12.12121212,0,0,0,0,0,0,0,0,0,0,0,51.51515152,0,0,0,0,0,0,0,3.03030303,3.03030303,0,0,0,0,0,0,0
14.TNB,2014,Turtle North - Back,3,0,0,0,0,0,0,0,0,25,0,0,0,0,15.625,0,0,0,0,0,0,0,0,0,0,0,56.25,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0,0,0
14.TNB,2014,Turtle North - Back,4,0,0,0,0,0,0,0,0,0,0,0,0,0,19.35483871,0,0,0,0,0,0,0,0,0,0,0,48.38709677,0,0,0,0,0,0,0,29.03225806,3.225806452,0,0,0,0,0,0,0
14.TNC,2014,Turtle North - Coral,1,16.12903226,0,3.225806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.225806452,0,0,0,0,0,16.12903226,0,58.06451613,3.225806452,0,0,0,0,0,0,0
14.TNC,2014,Turtle North - Coral,2,16.12903226,0,0,0,0,0,0,0,12.90322581,0,0,0,0,0,0,0,0,3.225806452,0,0,0,0,0,0,0,6.451612903,0,0,0,3.225806452,0,9.677419355,0,41.93548387,6.451612903,0,0,0,0,0,0,0
14.TNC,2014,Turtle North - Coral,3,9.677419355,0,3.225806452,0,0,0,0,0,6.451612903,0,3.225806452,0,0,3.225806452,0,0,0,0,0,0,0,0,0,0,0,6.451612903,0,0,3.225806452,0,0,9.677419355,0,48.38709677,6.451612903,0,0,0,0,0,0,0
14.TNC,2014,Turtle North - Coral,4,12.90322581,0,0,0,0,0,0,0,22.58064516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.451612903,0,0,0,0,0,9.677419355,6.451612903,35.48387097,6.451612903,0,0,0,0,0,0,0
