yr.si,Year,Site,Initial dominance,Transect,Acropora,Isopora,Montipora,Pocillopora,Seriatopora,Stylophora,Porites - branching,Porites - massive,Goniopora,Favia (plocoid),Favites (ceriod),Goniastrea,Echinopora,Galaxea,Encrust,Turbinaria,Hydonophora,Lobophyllia,Symphyllia,Millepora,Coral,Palythoa,Sinularia,Sarcophyton,Sargassaceae,Turbinaria algae,Hormophyssa,Padina,Dictyota,Dictyopterus,Hydroclathrus,Colpomenia,Chnoospora,Lobophora,Asparagopsis,Acanthophora,Amphiroa,Laurencia,Hypnea,Halymenia,Galaxaura,Liagora,Cyanobacteria,Halimeda,Halicoyrne,Dictyosphaeria,Chlorodesmis,Caulerpa,Neomeris,Valonia,Macroalgae,Sand,Sand/Rubble,Rubble,Pavement,Dead branching,Dead massive,Sponge,Ascidian,Clam,Zoantharian - Red,Zoantharian - Green
17.TSC,2017,Turtle South - Coral,Coral,2,0,0,0,2,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,20,0,0,26,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,58,2,14,6,10,0,0,0,0,0,0,0
17.TSC,2017,Turtle South - Coral,Coral,3,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,32,0,0,18,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,74,0,2,16,0,0,0,0,0,0,0,0
17.TSC,2017,Turtle South - Coral,Coral,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,28,0,0,20,10,6,0,0,0,0,6,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,82,0,0,10,6,0,0,0,0,0,0,0
13.TSF,2013,Turtle South - Front,Sargassum,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,2,0,9,3,0,0,0,0,0,0,0
13.TSF,2013,Turtle South - Front,Sargassum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,5,0,15,6,0,0,0,0,0,0,0
13.TSF,2013,Turtle South - Front,Sargassum,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,80,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,4,0,9,0,0,0,0,0,0,0,0
13.TSF,2013,Turtle South - Front,Sargassum,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,60,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,9,17,0,0,0,0,0,0,0
14.TSF,2014,Turtle South - Front,Sargassum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.225806452,0,0,16.12903226,0,9.677419355,0,0,0,0,3.225806452,0,0,0,22.58064516,0,0,9.677419355,0,0,0,0,0,64.51612903,0,6.451612903,25.80645161,3.225806452,0,0,0,0,0,0,0
14.TSF,2014,Turtle South - Front,Sargassum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.35483871,0,0,12.90322581,3.225806452,0,19.35483871,0,0,0,0,0,0,0,0,0,0,19.35483871,0,0,6.451612903,3.225806452,0,0,0,0,83.87096775,0,0,6.451612903,9.677419355,0,0,0,0,0,0,0
14.TSF,2014,Turtle South - Front,Sargassum,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.80645161,0,0,12.90322581,0,0,22.58064516,0,0,0,0,0,0,0,0,0,0,9.677419355,0,0,0,0,0,0,0,0,70.96774194,0,0,16.12903226,12.90322581,0,0,0,0,0,0,0
14.TSF,2014,Turtle South - Front,Sargassum,4,0,0,6.451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.451612903,0,0,0,0,0,0,6.451612903,3.225806452,0,0,0,6.451612903,0,0,0,0,0,0,0,0,25.80645161,0,0,19.35483871,0,0,0,0,0,61.29032258,0,3.225806452,25.80645161,0,0,0,0,3.225806452,0,0,0
15.TSF,2015,Turtle South - Front,Sargassum,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,8,0,0,0,4,0,2,0,0,0,0,0,0,0,2,10,8,0,0,0,0,42,86,6,0,6,0,0,0,0,0,0,0,0
15.TSF,2015,Turtle South - Front,Sargassum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,2,2,0,0,0,12,74,4,0,20,0,0,2,0,0,0,0,0
15.TSF,2015,Turtle South - Front,Sargassum,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,2,0,0,14,76,0,0,24,0,0,0,0,0,0,0,0
15.TSF,2015,Turtle South - Front,Sargassum,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,18,80,2,0,18,0,0,0,0,0,0,0,0
16.TSF,2016,Turtle South - Front,Sargassum,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,27,0,0,18,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,52,0,0,18,27,0,0,0,0,0,0,0
16.TSF,2016,Turtle South - Front,Sargassum,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,34,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,54,0,0,26,19,0,0,0,0,0,0,0
16.TSF,2016,Turtle South - Front,Sargassum,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,33,1,1,19,1,0,0,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,66,0,0,9,22,0,0,0,0,0,0,0
16.TSF,2016,Turtle South - Front,Sargassum,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,26,0,1,31,1,0,3,4,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,3,73,0,0,16,10,0,0,0,0,0,0,0
17.TSF,2017,Turtle South - Front,Sargassum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2,0,10,12,0,0,2,0,0,0,0,0,4,0,0,0,0,0,4,0,2,0,0,0,0,86,0,2,8,4,0,0,0,0,0,0,0
17.TSF,2017,Turtle South - Front,Sargassum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,4,6,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,86,2,4,6,2,0,0,0,0,0,0,0
17.TSF,2017,Turtle South - Front,Sargassum,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,4,0,16,8,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,84,0,2,6,8,0,0,0,0,0,0,0
17.TSF,2017,Turtle South - Front,Sargassum,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,60,2,2,6,4,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,82,0,8,0,8,0,0,0,0,0,0,0
