yr.si,Year,Site,Initial dominance,Transect,Acropora,Isopora,Montipora,Pocillopora,Seriatopora,Stylophora,Porites - branching,Porites - massive,Goniopora,Favia (plocoid),Favites (ceriod),Goniastrea,Echinopora,Galaxea,Encrust,Turbinaria,Hydonophora,Lobophyllia,Symphyllia,Millepora,Coral,Palythoa,Sinularia,Sarcophyton,Sargassaceae,Turbinaria algae,Hormophyssa,Padina,Dictyota,Dictyopterus,Hydroclathrus,Colpomenia,Chnoospora,Lobophora,Asparagopsis,Acanthophora,Amphiroa,Laurencia,Hypnea,Halymenia,Galaxaura,Liagora,Cyanobacteria,Halimeda,Halicoyrne,Dictyosphaeria,Chlorodesmis,Caulerpa,Neomeris,Valonia,Macroalgae,Sand,Sand/Rubble,Rubble,Pavement,Dead branching,Dead massive,Sponge,Ascidian,Clam,Zoantharian - Red,Zoantharian - Green
17.TNB,2017,Turtle North - Back,Coral,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,48,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,58,4,6,12,14,0,0,0,0,0,0,0
13.TNF,2013,Turtle North - Front,Sargassum,1,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,3,4,0,0,0,0,0,0,0
13.TNF,2013,Turtle North - Front,Sargassum,2,4,0,13,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,22,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,5,10,0,0,0,0,0,0,0
13.TNF,2013,Turtle North - Front,Sargassum,3,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,1,0,2,1,0,0,0,0,0,0,0
13.TNF,2013,Turtle North - Front,Sargassum,4,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,77,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,6,4,0,0,0,0,0,0,0
14.TNF,2014,Turtle North - Front,Sargassum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,12.90322581,0,0,58.06451613,0,0,0,0,0,77.41935484,3.225806452,6.451612903,12.90322581,0,0,0,0,0,0,0,0
14.TNF,2014,Turtle North - Front,Sargassum,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.225806452,0,0,0,0,0,0,0,0,0,0,0,0,0,58.06451613,0,0,0,0,0,61.29032258,12.90322581,22.58064516,3.225806452,0,0,0,0,0,0,0,0
14.TNF,2014,Turtle North - Front,Sargassum,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.225806452,0,74.19354839,0,0,0,0,0,83.87096775,6.451612903,9.677419355,0,0,0,0,0,0,0,0,0
14.TNF,2014,Turtle North - Front,Sargassum,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.225806452,0,0,0,0,3.225806452,0,0,0,0,0,0,0,0,0,0,6.451612903,61.29032258,0,0,0,3.225806452,0,77.41935484,6.451612903,16.12903226,0,0,0,0,0,0,0,0,0
15.TNF,2015,Turtle North - Front,Sargassum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,16,6,0,0,0,18,82,4,0,14,0,0,0,0,0,0,0,0
